date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:28	334/334	---M-Z	200	added ('OK')	text/plain	date:Fri,%2011%20Nov%202022%2017:22:33%20GMT	https://www.labelle-artistry.com/robots.txt		(from )
20:16:29	533832/533832	---M-Z	200	added ('OK')	text/html	etag:W/%226366e383e6d2054fc90aab6512b9c8a6%22	https://www.labelle-artistry.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web114/Site114/www.labelle-artistry.com/index.html	(from )
20:16:29	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Sun,%2013%20Nov%202022%2014:47:31%20GMT	http://static1.squarespace.com/static/6086d9bc3bd0fc2ff2592b60/t/60bd81ff5d6ae147bd7d98bf/1627055600595/Social+Profile_Moscow+Midnight+with+Roses+1.png?format=1500w	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web114/Site114/static1.squarespace.com/static/6086d9bc3bd0fc2ff2592b60/t/60bd81ff5d6ae147bd7d98bf/1627055600595/Social+Profile_Moscow+Midnight+with+Roses+1.026f7.delayed	(from https://www.labelle-artistry.com/)
20:16:31	43523/43523	---M-Z	200	added ('OK')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web114/Site114/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://www.labelle-artistry.com/)
20:16:32	18754/18754	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2013%20Nov%202022%2014:47:33%20GMT	http://use.typekit.net/ik/AFPNzI4JMG9RMNf_U5aGZlP8Qtu0v4P6eUAYxZZwtOSfenXIfFHN4UJLFRbh52jhWDj352Zq5A4Rwh4qweZRwcZcwR9owcJhwg7QMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0deBKZAUCZABkie8DiY4oO1FUiABkZWF3jAF8OcFzdP37O1FUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCjAFu-WsoShFGZAsude80ZkoRdhXCjAFu-WsoShFGZAsude80Zko0ZWbCjWw0dA9CdeBKZAUCZPuyS1sTSaskpPoRdhXCdeBKZAUCZABkie8DiY4oO1FUiABkZWF3jAF8OcFzdPUCdhFydeyzSabCSaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0dcmXOYiaikoySkolZPUaiaS0deBKZAUCZPuyS1sTSaskpPoRdhXCiaiaOcUyjcmCdemyS1sTSaskpPoDSWmyScmDSeBRZPoRdhXCiaiaO1FUiABkZWF3jAF8ShFGZAsude80ZkoRdhXKIA4kjAoqdhtlZa4ziemDSWm8J6oCiewljcNqdhoTOQIaFPG4fOUbIMMjMkMfH6qJl8MbMg6IJMJ7fbKt9gMMeMS6MKG4fOubIMMj2PMfH6qJluMbMg65JMJ7fbKo9gMMegI6MKG4fVvnIMIjgfMfH6qJxKCbMs65JMHbMpDNrJ9e.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web114/Site114/use.typekit.net/ik/AFPNzI4JMG9RMNf_U5aGZlP8Qtu0v4P6eUAYxZZwtOSfenXIfFHN4UJLFRbh52jhWDj352Zq5A4Rwh4qweZRwcZcwR9owcJhwg7QMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamT	(from https://www.labelle-artistry.com/)
20:16:34	82046/82046	---M-Z	200	added ('OK')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web114/Site114/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://www.labelle-artistry.com/)
20:16:34	45274/45274	---M-Z	200	added ('OK')	text/javascript	etag:%22c7d85c33b31f58c553b158fc5ebbfca5%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-584ec644ac719aa1236f1-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web114/Site114/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-584ec644ac719aa1236f1-min.en-US.js	(from https://www.labelle-artistry.com/)
20:16:38	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%226831fbfbcaefb323e1bca77209107e61%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web114/Site114/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	(from https://www.labelle-artistry.com/)
20:16:39	63185/63185	---M--	200	added ('OK')	image/png	etag:CMzJucW6hPECEAE=	https://images.squarespace-cdn.com/content/6086d9bc3bd0fc2ff2592b60/4d357a3b-f6a0-45e1-900a-6cfe0a96678d/Social+Profile_Moscow+Midnight+with+Roses+1.png?content-type=image%2Fpng	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web114/Site114/images.squarespace-cdn.com/content/6086d9bc3bd0fc2ff2592b60/4d357a3b-f6a0-45e1-900a-6cfe0a96678d/Social+Profile_Moscow+Midnight+with+Roses+15d45.png	(from https://www.labelle-artistry.com/)
20:16:48	245971/245971	---M-Z	200	added ('OK')	text/javascript	etag:%22ff401016dabf83b96a4ad64dfbd64596%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-9b2a74c45b27271fd111d-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web114/Site114/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-9b2a74c45b27271fd111d-min.en-US.js	(from https://www.labelle-artistry.com/)
